id,epoch,dir,entry,exit,pnl,hold,reason,votes,ns,agreement,confDir
1,1787583360,LONG,99.9132,99.85118,-0.0621,2,SL,189,0.707,0.853,HOLD
2,1787586360,LONG,99.6972,99.64084,-0.0565,1,SL,221,0.625,0.812,BUY
3,1787586660,LONG,99.6134,99.55109,-0.0626,2,SL,217,0.618,0.809,BUY
4,1787588460,LONG,99.7557,99.69158,-0.0643,2,SL,199,0.617,0.808,BUY
5,1787596260,LONG,99.7768,99.71479,-0.0621,4,SL,222,0.63,0.815,BUY
6,1787598660,LONG,99.5786,99.52069,-0.0582,1,SL,208,0.661,0.831,BUY
7,1787604960,LONG,100.6134,100.74543,0.1312,3,TP,202,0.612,0.806,HOLD
8,1787607960,LONG,101.4889,101.61696,0.1262,3,TP,204,0.617,0.808,HOLD
9,1787614560,SHORT,101.1312,101.18771,-0.0559,4,SL,203,-0.618,0.809,SELL
10,1787616060,SHORT,101.1496,101.04653,0.1019,2,TP,203,-0.608,0.804,SELL
11,1787625360,LONG,101.0921,101.03778,-0.0537,2,SL,206,0.635,0.818,BUY
12,1787627460,LONG,101.3483,101.29053,-0.057,1,SL,203,0.702,0.851,HOLD
13,1787639460,LONG,99.6181,99.73081,0.1131,2,TP,215,0.674,0.837,HOLD
14,1787639760,LONG,99.7711,99.7195,-0.0517,3,SL,212,0.601,0.801,HOLD
15,1787653260,LONG,99.5679,99.69344,0.1261,4,TP,204,0.696,0.848,BUY
16,1787662260,SHORT,100.8184,100.87329,-0.0544,1,SL,219,-0.644,0.822,HOLD
17,1787684760,SHORT,99.0839,99.14191,-0.0585,5,SL,218,-0.606,0.803,HOLD
18,1787705460,SHORT,98.6075,98.6605,-0.0538,1,SL,208,-0.608,0.804,HOLD
19,1787708460,LONG,98.3859,98.33433,-0.0524,1,SL,189,0.697,0.848,HOLD
20,1787710560,LONG,98.5172,98.46084,-0.0572,1,SL,210,0.611,0.805,BUY
21,1787720460,LONG,97.9754,98.08082,0.1076,2,TP,201,0.651,0.826,HOLD
22,1787751360,LONG,98.4969,98.615,0.1199,5,TP,205,0.641,0.82,HOLD
23,1787765760,LONG,98.3306,98.27741,-0.0541,5,SL,221,0.676,0.838,HOLD
24,1787774460,LONG,98.1301,98.07772,-0.0534,5,SL,220,0.654,0.827,BUY
25,1787780160,LONG,97.5851,97.5851,0,0,HORIZON,218,0.605,0.803,BUY
26,1787780460,LONG,97.6348,97.58512,-0.0509,2,SL,221,0.606,0.803,BUY
27,1787806860,SHORT,95.8331,95.71589,0.1223,1,TP,213,-0.639,0.819,HOLD
28,1787810160,SHORT,95.5479,95.60052,-0.0551,1,SL,200,-0.628,0.814,HOLD
29,1787844060,LONG,95.3953,95.3953,0,0,HORIZON,200,0.618,0.809,HOLD
30,1787856660,LONG,94.6682,94.6096,-0.0619,1,SL,214,0.603,0.802,HOLD
