id,epoch,dir,entry,exit,pnl,hold,reason,votes,ns,agreement,confDir
1,1787578260,LONG,99.6561,99.5931,-0.0632,1,SL,210,0.55,0.775,HOLD
2,1787578560,LONG,99.8137,99.95891,0.1455,4,TP,202,0.583,0.791,HOLD
3,1787578860,LONG,99.9371,99.87074,-0.0664,1,SL,232,0.498,0.749,HOLD
4,1787580060,LONG,100.1246,100.06431,-0.0602,1,SL,196,0.466,0.733,HOLD
5,1787580360,SHORT,99.8498,99.8498,0,0,HORIZON,212,-0.511,0.755,HOLD
6,1787580660,SHORT,99.7408,99.79482,-0.0542,2,SL,211,-0.462,0.731,HOLD
7,1787581860,LONG,99.7649,99.71143,-0.0536,1,SL,200,0.476,0.738,HOLD
8,1787582160,LONG,99.9361,99.88472,-0.0514,3,SL,207,0.582,0.791,HOLD
9,1787583060,LONG,99.8431,99.78082,-0.0624,1,SL,191,0.513,0.756,HOLD
10,1787583360,LONG,99.9132,99.85118,-0.0621,2,SL,189,0.707,0.853,HOLD
11,1787583660,SHORT,99.7769,99.83391,-0.0571,2,SL,216,-0.546,0.773,HOLD
12,1787586060,LONG,99.4554,99.59096,0.1363,3,TP,222,0.579,0.789,BUY
13,1787586360,LONG,99.6972,99.64084,-0.0565,1,SL,221,0.625,0.812,BUY
14,1787586660,LONG,99.6134,99.55109,-0.0626,2,SL,217,0.618,0.809,BUY
15,1787587260,LONG,99.9479,99.8816,-0.0663,2,SL,199,0.476,0.738,HOLD
16,1787587860,SHORT,99.6052,99.66886,-0.0639,1,SL,208,-0.444,0.722,SELL
17,1787588460,LONG,99.7557,99.69158,-0.0643,2,SL,199,0.617,0.808,BUY
18,1787588760,LONG,99.876,100.00672,0.1309,1,TP,197,0.462,0.731,BUY
19,1787592060,SHORT,99.9058,99.9701,-0.0644,2,SL,204,-0.548,0.774,SELL
20,1787596260,LONG,99.7768,99.71479,-0.0621,4,SL,222,0.63,0.815,BUY
21,1787597160,SHORT,99.6514,99.70156,-0.0503,2,SL,220,-0.589,0.795,SELL
22,1787598360,LONG,99.5486,99.67839,0.1304,3,TP,214,0.513,0.757,BUY
23,1787598660,LONG,99.5786,99.52069,-0.0582,1,SL,208,0.661,0.831,BUY
24,1787601660,SHORT,100.1087,100.167,-0.0582,5,SL,233,-0.547,0.774,SELL
25,1787602260,SHORT,100.04,100.09894,-0.0589,1,SL,227,-0.568,0.784,SELL
26,1787603760,LONG,100.573,100.51527,-0.0574,1,SL,195,0.482,0.741,HOLD
27,1787604960,LONG,100.6134,100.74543,0.1312,3,TP,202,0.612,0.806,HOLD
28,1787605260,LONG,101.0448,101.1949,0.1485,4,TP,211,0.48,0.74,HOLD
29,1787605560,LONG,101.381,101.53772,0.1546,4,TP,212,0.495,0.747,HOLD
30,1787607960,LONG,101.4889,101.61696,0.1262,3,TP,204,0.617,0.808,HOLD
31,1787608260,LONG,101.7282,101.7282,0,0,HORIZON,222,0.582,0.791,HOLD
32,1787612160,LONG,101.1609,101.10038,-0.0598,1,SL,222,0.47,0.735,HOLD
33,1787613360,SHORT,101.1614,101.21257,-0.0506,1,SL,190,-0.441,0.721,HOLD
34,1787613660,SHORT,101.1432,101.19752,-0.0537,1,SL,189,-0.56,0.78,HOLD
35,1787613960,SHORT,101.108,101.16688,-0.0582,1,SL,189,-0.493,0.746,SELL
36,1787614560,SHORT,101.1312,101.18771,-0.0559,4,SL,203,-0.618,0.809,SELL
37,1787615760,SHORT,101.18,101.23098,-0.0504,4,SL,200,-0.491,0.745,SELL
