id,epoch,dir,entry,exit,pnl,hold,reason,votes,ns,confDir
1,1787578260,LONG,99.6561,99.5931,-0.0632,1,SL,202,23.741,HOLD
2,1787578560,LONG,99.8137,99.95891,0.1455,4,TP,194,29.206,HOLD
3,1787578860,LONG,99.9371,99.87074,-0.0664,1,SL,224,39.283,HOLD
4,1787579160,LONG,100.0106,99.93808,-0.0725,2,SL,206,8.011,HOLD
5,1787579460,SHORT,99.8401,99.90481,-0.0648,1,SL,202,-17.329,HOLD
6,1787579760,SHORT,99.8409,99.89887,-0.0581,1,SL,189,-2.143,HOLD
7,1787580060,LONG,100.1246,100.06431,-0.0602,1,SL,188,23.816,HOLD
8,1787580360,SHORT,99.8498,99.8498,0,0,HORIZON,204,-21.646,HOLD
9,1787580660,SHORT,99.7408,99.79482,-0.0542,2,SL,202,-27.605,HOLD
10,1787580960,LONG,99.9651,99.91114,-0.054,2,SL,211,16.06,HOLD
11,1787581260,SHORT,99.5791,99.64162,-0.0628,3,SL,203,-10.776,HOLD
12,1787581560,SHORT,99.6471,99.70719,-0.0603,2,SL,191,-4.443,HOLD
13,1787581860,LONG,99.7649,99.71143,-0.0536,1,SL,191,18.335,HOLD
14,1787582160,LONG,99.9361,99.88472,-0.0514,3,SL,198,32.744,HOLD
15,1787582460,LONG,99.8361,99.78285,-0.0533,1,SL,190,5.976,HOLD
16,1787582760,LONG,99.8094,99.74688,-0.0626,1,SL,184,3.91,HOLD
17,1787583060,LONG,99.8431,99.78082,-0.0624,1,SL,183,12.776,HOLD
18,1787583360,LONG,99.9132,99.85118,-0.0621,2,SL,181,23.64,HOLD
19,1787583660,SHORT,99.7769,99.83391,-0.0571,2,SL,207,-23.216,HOLD
20,1787583960,SHORT,99.7062,99.76134,-0.0553,1,SL,184,-16.322,HOLD
21,1787584260,SHORT,99.5591,99.44481,0.1148,3,TP,184,-14.844,SELL
22,1787584560,SHORT,99.3944,99.27748,0.1176,1,TP,183,-13.889,SELL
23,1787584860,SHORT,99.3802,99.4466,-0.0668,2,SL,188,-12.35,SELL
24,1787585160,SHORT,99.3114,99.18928,0.123,3,TP,186,-6.286,SELL
25,1787585460,SHORT,99.2459,99.13199,0.1148,4,TP,191,-2.11,HOLD
26,1787585760,LONG,99.265,99.20888,-0.0565,3,SL,213,21.283,BUY
27,1787586060,LONG,99.4554,99.59096,0.1363,3,TP,214,40.555,BUY
28,1787586360,LONG,99.6972,99.64084,-0.0565,1,SL,213,48.454,BUY
29,1787586660,LONG,99.6134,99.55109,-0.0626,2,SL,208,34.612,BUY
30,1787586960,LONG,99.5153,99.63753,0.1228,2,TP,207,20.577,BUY
31,1787587260,LONG,99.9479,99.8816,-0.0663,2,SL,191,28.695,HOLD
